"hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","doJOZc","W4Efsd 3","W4Efsd 4","Cw1rxd","R8c4Qb","Jn12ke src","ah5Ghc","W4Efsd 5"
"https://www.google.com/maps/place/NayaGanj+Metro+Station/data=!4m7!3m6!1s0x399c47002c56d551:0x9e5d922777a65115!8m2!3d26.4638608!4d80.3597047!16s%2Fg%2F11ydxp2_wv!19sChIJUdVWLABHnDkRFVGmdyeSXZ4?authuser=0&hl=en&rclk=1","NayaGanj Metro Station","4.9","(27)","Transportation service","·","","208001","","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Good with location, cleanliness,small parking, escalators etc.""",""
"https://www.google.com/maps/place/%E0%A4%B5%E0%A4%BF%E0%A4%B6%E0%A5%8D%E0%A4%B5+%E0%A4%B5%E0%A4%BF%E0%A4%A6%E0%A5%8D%E0%A4%AF%E0%A4%BE%E0%A4%B2%E0%A4%AF+%E0%A4%AE%E0%A5%87%E0%A4%9F%E0%A5%8D%E0%A4%B0%E0%A5%8B+%E0%A4%B8%E0%A5%8D%E0%A4%9F%E0%A5%87%E0%A4%B6%E0%A4%A8+University+Metro+Station/data=!4m7!3m6!1s0x399c370041182425:0x72a250e4c916f120!8m2!3d26.4965719!4d80.2674487!16s%2Fg%2F11pbyxrb4x!19sChIJJSQYQQA3nDkRIPEWyeRQonI?authuser=0&hl=en&rclk=1","विश्व विद्यालय मेट्रो स्टेशन University Metro Station","4.2","(5)","Transportation service","·","","·","F7W8+JXG, NH 34","","Directions","","",""
"https://www.google.com/maps/place/Jhakarkati+Metro+Station+%E0%A4%9D%E0%A4%95%E0%A4%B0%E0%A4%95%E0%A4%9F%E0%A5%80+%E0%A4%AE%E0%A5%87%E0%A4%9F%E0%A5%8D%E0%A4%B0%E0%A5%8B+%E0%A4%B8%E0%A5%8D%E0%A4%9F%E0%A5%87%E0%A4%B6%E0%A4%A8/data=!4m7!3m6!1s0x399c47006afd00c5:0x34ea8e5939d3801e!8m2!3d26.4500258!4d80.3405246!16s%2Fg%2F11x7ktx48b!19sChIJxQD9agBHnDkRHoDTOVmO6jQ?authuser=0&hl=en&rclk=1","Jhakarkati Metro Station झकरकटी मेट्रो स्टेशन","4.4","(10)","Metropolitan train company","·","","Major Salman Bus Stand, 251","","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Very nice place and very clean area""",""
"https://www.google.com/maps/place/Metro+station+Chunniganj/data=!4m7!3m6!1s0x399c3900497a2b3b:0x688be93050922235!8m2!3d26.4769637!4d80.3377296!16s%2Fg%2F11wqbqfvhk!19sChIJOyt6SQA5nDkRNSKSUDDpi2g?authuser=0&hl=en&rclk=1","Metro station Chunniganj","4.5","(13)","Metropolitan train company","·","","F8GQ+R52 Westeria","","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""... 31may 2025 neat and clean first under ground station in kanpur""",""
"https://www.google.com/maps/place/Shastri+Chauraha+Metro+Station/data=!4m7!3m6!1s0x399c478224f040f1:0xa089f048a6268685!8m2!3d26.4435686!4d80.2945685!16s%2Fg%2F11svg3n6ht!19sChIJ8UDwJIJHnDkRhYYmpkjwiaA?authuser=0&hl=en&rclk=1","Shastri Chauraha Metro Station","4.3","(3)","Metropolitan train company","·","","·","C7VV+CRG","","Website","","",""
"https://www.google.com/maps/place/Naveen+Market+Metro+Station/data=!4m7!3m6!1s0x399c39bc978a5505:0xc520d81f682741ef!8m2!3d26.4740115!4d80.3449702!16s%2Fg%2F11sm7t0r9n!19sChIJBVWKl7w5nDkR70EnaB_YIMU?authuser=0&hl=en&rclk=1","Naveen Market Metro Station","4.5","(23)","Transportation service","·","","F8FV+JX5, Parade","","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Station is huge and maintained clean with all facilities to the travellers.""",""
"https://www.google.com/maps/place/Naubasta+Metro+Station+%E0%A4%A8%E0%A5%8C%E0%A4%AC%E0%A4%B8%E0%A5%8D%E0%A4%A4%E0%A4%BE+%E0%A4%AE%E0%A5%87%E0%A4%9F%E0%A5%8D%E0%A4%B0%E0%A5%8B+%E0%A4%B8%E0%A5%8D%E0%A4%9F%E0%A5%87%E0%A4%B6%E0%A4%A8/data=!4m7!3m6!1s0x399c47000e755f4d:0x8cd535e191b6e0b6!8m2!3d26.4219211!4d80.3190818!16s%2Fg%2F11x7knt_f6!19sChIJTV91DgBHnDkRtuC2keE11Yw?authuser=0&hl=en&rclk=1","Naubasta Metro Station नौबस्ता मेट्रो स्टेशन","4.4","(7)","Metropolitan train company","·","","C8C9+QJ8, Naubasta","","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""It will very convenient to reach railway station & other destinations.""",""
"https://www.google.com/maps/place/Kidwai+Nagar+Metro+Station+%E0%A4%95%E0%A4%BF%E0%A4%A6%E0%A4%B5%E0%A4%88+%E0%A4%A8%E0%A4%97%E0%A4%B0+%E0%A4%AE%E0%A5%87%E0%A4%9F%E0%A5%8D%E0%A4%B0%E0%A5%8B+%E0%A4%B8%E0%A5%8D%E0%A4%9F%E0%A5%87%E0%A4%B6%E0%A4%A8/data=!4m7!3m6!1s0x399c47005400f8c1:0x684b455ab51daeee!8m2!3d26.430006!4d80.3209004!16s%2Fg%2F11x14dbqmq!19sChIJwfgAVABHnDkR7q4dtVpFS2g?authuser=0&hl=en&rclk=1","Kidwai Nagar Metro Station किदवई नगर मेट्रो स्टेशन","4.0","(2)","Metropolitan train company","·","","Metro Pillar, 90B, Hamirpur Rd","","","Directions","","",""
"https://www.google.com/maps/place/Geeta+Nagar/data=!4m7!3m6!1s0x399c3816420b91d7:0xc64fa7f9aa4b557f!8m2!3d26.487118!4d80.29204!16s%2Fg%2F11rmpxk_0g!19sChIJ15ELQhY4nDkRf1VLqvmnT8Y?authuser=0&hl=en&rclk=1","Geeta Nagar","4.8","(23)","Subway station","·","","","","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""",""
"https://www.google.com/maps/place/Kanpur+Metro+Rail+Corporation,Kanpur/data=!4m7!3m6!1s0x399c382266a3f433:0x6b41ce1cb42ff21a!8m2!3d26.4895659!4d80.2843352!16s%2Fg%2F11byyrpc2b!19sChIJM_SjZiI4nDkRGvIvtBzOQWs?authuser=0&hl=en&rclk=1","Kanpur Metro Rail Corporation,Kanpur","4.0","(106)","Government office","·","","·","State Textile Corporation Limited, GT Rd, near Uttar Pradesh","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Newly opened kalupur","Opens soon"
"https://www.google.com/maps/place/Kalyanpur/data=!4m7!3m6!1s0x399c37a224c3e303:0xa8a2e2502d9a1eb0!8m2!3d26.5031574!4d80.2526131!16s%2Fg%2F11g6pxhmjw!19sChIJA-PDJKI3nDkRsB6aLVDioqg?authuser=0&hl=en&rclk=1","Kalyanpur","3.9","(678)","Travel Terminals","·","","·","NH 91","","Website","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Because it has a",""
"https://www.google.com/maps/place/Barra-8+Metro+Station/data=!4m7!3m6!1s0x399c47fb35bc19bd:0x95b0c700d35c377!8m2!3d26.4301911!4d80.2905573!16s%2Fg%2F11svg3k9vx!19sChIJvRm8NftHnDkRd8M1DXAMWwk?authuser=0&hl=en&rclk=1","Barra-8 Metro Station","3.6","(22)","Metropolitan train company","·","","·","C7JR+354","","Website","","",""
"https://www.google.com/maps/place/Kanpur+Metro+Yard/data=!4m7!3m6!1s0x399c383d2c92e2bb:0x6409cda87f6090c2!8m2!3d26.4913804!4d80.2869551!16s%2Fg%2F11g9m_vw1n!19sChIJu-KSLD04nDkRwpBgf6jNCWQ?authuser=0&hl=en&rclk=1","Kanpur Metro Yard","4.5","(63)","Train depot","·","","·","F7RP+HQ4","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""From IIT Kanpur to moti jheel, the metro is running regularly.""",""
"https://www.google.com/maps/place/Kanpur+Central+Railway+Station/data=!4m7!3m6!1s0x399c475f92e2f43d:0x3e93915f4bc55768!8m2!3d26.4541093!4d80.3504691!16s%2Fg%2F11n0bztvnp!19sChIJPfTikl9HnDkRaFfFS1-Rkz4?authuser=0&hl=en&rclk=1","Kanpur Central Railway Station","4.1","(84,813)","Railway services","·","","·","central railway station","","Directions","","On-site services","Open now"
"https://www.google.com/maps/place/Hallet+Hospital+Metro+Station/data=!4m7!3m6!1s0x399c39662a253b97:0x86631b8ffe87f3d9!8m2!3d26.4791713!4d80.3117808!16s%2Fg%2F11lm12jz_0!19sChIJlzslKmY5nDkR2fOH_o8bY4Y?authuser=0&hl=en&rclk=1","Hallet Hospital Metro Station","4.8","(8)","Metropolitan train company","·","","·","122/20","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Great Metro station..""","Open"
"https://www.google.com/maps/place/LLR+Hospital/data=!4m7!3m6!1s0x399c386548323ac5:0xa3dadf30087be93a!8m2!3d26.479233!4d80.31151!16s%2Fg%2F11sm8mc6nx!19sChIJxToySGU4nDkROul7CDDf2qM?authuser=0&hl=en&rclk=1","LLR Hospital","4.1","(15)","Subway station","·","","","","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Ample parking space available in parking area of metro.""",""
"https://www.google.com/maps/place/Moti+Jheel/data=!4m7!3m6!1s0x399c3863354521bb:0x6b3ed6bb165dc2df!8m2!3d26.479108!4d80.317181!16s%2Fg%2F11sm8lrwdk!19sChIJuyFFNWM4nDkR38JdFrvWPms?authuser=0&hl=en&rclk=1","Moti Jheel","4.4","(22)","Subway station","·","","","","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Neat and clean metro station""",""
"https://www.google.com/maps/place/Rawatpur/data=!4m7!3m6!1s0x399c3813576a35e5:0x42a6d5c842ab3953!8m2!3d26.4832734!4d80.2984269!16s%2Fg%2F11dxchg9fb!19sChIJ5TVqVxM4nDkRUzmrQsjVpkI?authuser=0&hl=en&rclk=1","Rawatpur","4.0","(221)","Travel Terminals","·","","","","","Website","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Behind the",""
